ID	Moon	Orbits Planet	Year Discovered	Discoverer By	Distance from Planet (km)	Moon's Diameter (km)	Orbital Period (days)
001	Adrastea	Jupiter	1979	Jewitt & Danielson	128980	26 X 16	0.298
002	Aegir	Saturn	2005	D. Jewitt, S. Sheppard, J. Kleyna	20735000	6	1116.5
003	Aitne	Jupiter	2001	S. Sheppard, D. Jewitt, & J. Kleyna	23547000	3	736
004	Albiorix	Saturn	2000	Gladman et al.	16392000	30	783
005	Amalthea	Jupiter	1892	E. Barnard	181300	262 X 134	0.498
006	Ananke	Jupiter	1951	S. Nicholson	21200000	20	631
007	Anthe	Saturn	2004	Cassini Imaging Team	197700	1	1.04
008	Aoede	Jupiter	2003	S. Sheppard, D. Jewitt, & J. Kleyna	23807655	4	748.8
009	Arche	Jupiter	2002	S. Sheppard	23064000	3	715.6
010	Ariel	Uranus	1851	W. Lassell	191240	1160	2.52
011	Atlas	Saturn	1980	R. Terrile	137640	37 X 27	0.602
012	Autonoe	Jupiter	2001	S. Sheppard, D. Jewitt, & J. Kleyna	24122000	4	753
013	Bebhionn	Saturn	2005	D. Jewitt, S. Sheppard, J. Kleyna	17119000	6	834.8
014	Belinda	Uranus	1986	Voyager 2	75260	66	0.624
015	Bergelmir	Saturn	2005	D. Jewitt, S. Sheppard, J. Kleyna	19338000	6	1005.9
016	Bestla	Saturn	2005	D. Jewitt, S. Sheppard, J. Kleyna	20129000	7	1083.6
017	Bianca	Uranus	1986	Voyager 2	75260	42	0.433
018	Caliban	Uranus	1997	Gladman, Nicholson, Burns, & Kavelaars	7200000	80	579.5
019	Callirrhoe	Jupiter	2000	Spacewatch Project Minor Planet Center	24200000	10	774
020	Callisto	Jupiter	1610	Galileo	1883000	4800	16.689
021	Calypso	Saturn	1980	B. Smith	294660	30 X 16	1.888
022	Carme	Jupiter	1938	S. Nicholson	22600000	30	692
023	Carpo	Jupiter	2003	S. Sheppard, D. Jewitt, & J. Kleyna	17100000	3	456.5
024	Chaldene	Jupiter	2000	S. Sheppard, D. Jewitt, Y. Fernandez, & G. Magnier	23179000	3.8	741
025	Charon	Pluto	1978	J. Christy	19571	1207	6.387
026	Cordelia	Uranus	1986	Voyager 2	49750	26	0.335
027	Cressida	Uranus	1986	Voyager 2	61770	62	0.464
028	Cupid	Uranus	2003	M. Showalter & J. Lissauer	74800	12	0.618
029	Cyllene	Jupiter	2003	S. Sheppard, D. Jewitt, & J. Kleyna	24000000	2	737.8
030	Daphnis	Saturn	2005	Cassini Imaging Science Team	136500	7	0.594
031	Deimos	Mars	1877	Asaph Hall	23460	12.4	1.2624
032	Desdemona	Uranus	1986	Voyager 2	62660	54	0.474
033	Despina	Neptune	1989	Voyager 2	62000	160	0.4
034	Dione	Saturn	1684	G. Cassini	377400	1120	2.737
035	Elara	Jupiter	1905	C. Perrine	11737000	80	259.65
036	Enceladus	Saturn	1789	W. Herschel	238020	498	1.37
